word,meaning
abandon,捨てる
ability,能力
abolish,廃止する
absorb,吸収する
abstract,抽象的な
abundant,豊富な
access,アクセス
accompany,同行する
accomplish,成し遂げる
accord,一致
accumulate,蓄積する
accurate,正確な
accuse,非難する
addict,依存させる
adhere,固執する
adjust,調整する
admire,称賛する
adolescent,青年期の
adopt,採用する
advance,前進
adventure,冒険
adverse,不利な
advise,忠告する
advocate,支持者
affect,影響を与える
afford,余裕がある
aggressive,攻撃的な
agriculture,農業
alert,警戒した
alien,異質な
allocate,割り当てる
alter,変える
alternative,代替の
amaze,驚かす
ambition,野心
amend,修正する
amid,～の中で
analysis,分析
ancestor,祖先
announce,発表する
annual,年一回の
anticipate,予期する
anxiety,不安
apology,謝罪
apparent,明白な
appeal,訴える
appetite,食欲
applaud,拍手する
apply,適用する
appoint,指名する
approach,接近する
approve,承認する
architecture,建築
argue,主張する
arise,生じる
artificial,人工的な
ashamed,恥じて
aspect,側面
assemble,集める
assign,割り当てる
assist,援助する
associate,関連付ける
assume,仮定する
assure,保証する
astonish,驚かす
attach,取り付ける
attempt,試みる
attitude,態度
attract,惹きつける
attribute,属性
authority,権威
automatic,自動的な
available,利用できる
average,平均
avoid,避ける
await,待つ
award,授与する
aware,気づいて
awesome,素晴らしい
balance,均衡
ban,禁止する
barrier,障壁
behave,振る舞う
belief,信念
benefit,利益
betray,裏切る
bias,偏見
biology,生物学
bizarre,奇妙な
blame,非難する
blend,混ぜる
bless,祝福する
bold,大胆な
bond,絆
boost,高める
border,境界
borrow,借りる
boundary,境界
brave,勇敢な
breed,繁殖させる
brief,短い
brilliant,輝かしい
broadcast,放送する
